Price,Bedrooms,Bathrooms,GrossLivingArea,Lot_size,Year_built,Garage,Distance
590000,3,1,1066,5924,1963,1,1
750000,4,3,2118,5227,1998,2,3
703000,3,3,1780,2156,2016,2,2
829000,3,2,1681,9147,1973,2,1
750000,4,2,1516,8058,1977,0,3
651500,3,2,1412,6098,1966,2,2
1250000,3,3,2664,15682,1974,2,5
900000,3,3,2013,6098,1998,2,3
650000,3,2,1280,6577,1970,0,2
1350000,5,4,2598,10890,1990,3,2
1100000,3,3,1882,10798,1965,2,2
499000,2,2,1056,3920,1973,2,1
1237000,5,4,2850,5880,2020,1,2
745000,3,2,1504,12632,1990,2,2
536000,3,1,1000,6708,1961,2,2
750000,3,2,1260,6969,1964,2,1
588000,3,1,960,6599,1971,2,2
262500,1,1,615,4617,1957,2,1
840000,4,3,2475,5662,1993,3,2
842000,4,3,2150,7666,1988,2,2
775000,3,2,1353,8189,1964,2,2
602000,2,3,1404,1306,2015,2,2
589000,3,2,1375,4599,1977,1,2
560000,3,2,1295,4713,1976,1,2
1002000,4,3,2025,9975,1973,2,4
1416500,6,3,3035,10018,1999,3,3
825000,3,2,1485,6838,1951,1,1
796000,4,2,1722,6838,1965,2,1
698000,3,2,1352,6660,1976,2,3
593588,2,2.5,1404,1159,2016,2,2
614900,2,1.5,1320,2993,1979,2,2
400000,3,3,1205,684,1994,1,2
925000,4,2.5,2475,6765,1999,3,3
789000,3,2,1640,10376,1977,2,2
1300000,6,3,2841,6623,1999,2,3
725000,3,2,1584,3049,2000,2,2
675000,3,2,1224,3311,1986,1,2
2570000,4,3.5,4000,217800,2014,2,2
999999,4,3,1288,6970,1979,2,2
759000,3,2,1728,7410,1973,2,3
368000,2,1,903,449,1971,1,2
799900,4,3,1704,7501,1978,1,2
895000,3,2.5,1861,2008,2016,2,3
